,host_is_superhost,accommodates,mean of the prices
1,normal host,1,86.0830489192264
2,normal host,2,125.40550828481862
3,normal host,3,148.45738396624472
4,normal host,4,188.6077457795432
5,normal host,5,214.18367346938774
6,normal host,6,284.30601092896177
7,normal host,7,256.09615384615387
8,normal host,8,444.36756756756756
9,normal host,9,449.0833333333333
10,normal host,10,390.4347826086956
11,normal host,11,460.75
12,normal host,12,669.4782608695652
13,normal host,13,623.75
14,normal host,14,384.2857142857143
15,normal host,15,780.4
16,normal host,16,736.6315789473684
17,Super host,1,60.18029350104822
18,Super host,2,108.33041848844472
19,Super host,3,124.287841191067
20,Super host,4,164.18895705521473
21,Super host,5,198.6290322580645
22,Super host,6,242.50574712643677
23,Super host,7,262.5897435897436
24,Super host,8,341.6829268292683
25,Super host,9,374.22222222222223
26,Super host,10,422.51851851851853
27,Super host,11,352.3333333333333
28,Super host,12,553.8571428571429
29,Super host,13,428.0
30,Super host,14,1313.8
31,Super host,15,1428.0
32,Super host,16,576.3888888888889
