,host_is_superhost,review_scores_cleanliness
0,f,5.0
1,t,5.0
2,t,5.0
3,t,5.0
4,f,5.0
5,f,5.0
6,f,5.0
7,t,5.0
8,t,5.0
9,f,5.0
10,f,5.0
11,f,5.0
12,f,5.0
13,f,5.0
14,f,5.0
15,t,5.0
16,f,5.0
17,f,5.0
18,f,5.0
19,t,5.0
20,f,5.0
21,t,5.0
22,t,5.0
23,f,5.0
24,f,5.0
25,f,5.0
26,f,5.0
27,t,5.0
28,f,5.0
29,f,5.0
30,f,5.0
31,f,5.0
32,t,5.0
33,t,5.0
34,f,5.0
35,f,5.0
36,f,5.0
37,f,5.0
38,f,5.0
39,t,5.0
40,t,5.0
41,f,5.0
42,f,5.0
43,f,5.0
44,t,5.0
45,t,5.0
46,t,5.0
47,f,5.0
48,f,5.0
49,f,5.0
50,f,5.0
51,t,5.0
52,f,5.0
53,f,5.0
54,f,5.0
55,f,5.0
56,t,5.0
57,f,5.0
58,t,5.0
59,f,5.0
60,f,5.0
61,f,5.0
62,t,5.0
63,f,5.0
64,t,5.0
65,t,5.0
66,t,5.0
67,f,5.0
68,f,5.0
69,f,5.0
70,f,5.0
71,f,5.0
72,f,5.0
73,t,5.0
74,f,5.0
75,f,5.0
76,t,5.0
77,f,5.0
78,f,5.0
79,t,5.0
80,t,5.0
81,t,5.0
82,f,5.0
83,f,5.0
84,f,5.0
85,t,5.0
86,f,5.0
87,f,5.0
88,f,5.0
89,f,5.0
90,f,5.0
91,t,5.0
92,t,5.0
93,f,5.0
94,f,5.0
95,t,5.0
96,t,5.0
97,f,5.0
98,f,5.0
99,t,5.0
100,f,5.0
101,t,5.0
102,f,5.0
103,t,5.0
104,f,5.0
105,f,5.0
106,f,5.0
107,f,5.0
108,f,5.0
109,f,5.0
110,t,5.0
111,f,5.0
112,t,5.0
113,t,5.0
114,f,5.0
115,f,5.0
116,f,5.0
117,t,5.0
118,t,5.0
119,f,5.0
120,f,5.0
121,t,5.0
122,f,5.0
123,f,5.0
124,f,5.0
125,f,5.0
126,f,5.0
127,t,5.0
128,f,5.0
129,f,5.0
130,t,5.0
131,f,5.0
132,f,5.0
133,f,5.0
134,t,5.0
135,f,5.0
136,t,5.0
137,f,5.0
138,f,5.0
139,f,5.0
140,t,5.0
141,f,5.0
142,t,5.0
143,t,5.0
144,f,5.0
145,t,5.0
146,f,5.0
147,t,5.0
148,f,5.0
149,f,5.0
150,t,5.0
151,f,5.0
152,t,5.0
153,f,5.0
154,f,5.0
155,t,5.0
156,f,5.0
157,f,5.0
158,t,5.0
159,f,5.0
160,f,5.0
161,f,5.0
162,f,5.0
163,t,5.0
164,f,5.0
165,t,5.0
166,f,5.0
167,t,5.0
168,f,5.0
169,f,5.0
170,f,5.0
171,f,5.0
172,f,5.0
173,f,5.0
174,t,5.0
175,f,5.0
176,f,5.0
177,f,5.0
178,f,5.0
179,f,5.0
180,f,5.0
181,f,5.0
182,f,5.0
183,f,5.0
184,f,5.0
185,f,5.0
186,f,5.0
187,f,5.0
188,t,5.0
189,f,5.0
190,f,5.0
191,t,5.0
192,t,5.0
193,t,5.0
194,f,5.0
195,f,5.0
196,f,5.0
197,f,5.0
198,t,5.0
199,f,5.0
200,t,5.0
201,f,5.0
202,f,5.0
203,f,5.0
204,f,5.0
205,f,5.0
206,f,5.0
207,f,5.0
208,f,5.0
209,f,5.0
210,f,5.0
211,f,5.0
212,t,5.0
213,f,5.0
214,f,5.0
215,f,5.0
216,f,5.0
217,f,5.0
218,t,5.0
219,f,5.0
220,t,5.0
221,f,5.0
222,t,5.0
223,t,5.0
224,t,5.0
225,f,5.0
226,f,5.0
227,f,5.0
228,t,5.0
229,f,5.0
230,f,5.0
231,f,5.0
232,f,5.0
233,f,5.0
234,f,5.0
235,f,5.0
236,f,5.0
237,f,5.0
238,f,5.0
239,f,5.0
240,f,5.0
241,f,5.0
242,f,5.0
243,t,5.0
244,f,5.0
245,f,5.0
246,t,5.0
247,f,5.0
248,f,5.0
249,f,5.0
250,f,5.0
251,t,5.0
252,f,5.0
253,f,5.0
254,t,5.0
255,f,5.0
256,f,5.0
257,f,5.0
258,f,5.0
259,t,5.0
260,f,5.0
261,f,5.0
262,f,5.0
263,f,5.0
264,t,5.0
265,t,5.0
266,f,5.0
267,t,5.0
268,t,5.0
269,t,5.0
270,f,5.0
271,f,5.0
272,f,5.0
273,t,5.0
274,f,5.0
275,f,5.0
276,t,5.0
277,f,5.0
278,f,5.0
279,f,5.0
280,f,5.0
281,f,5.0
282,f,5.0
283,t,5.0
284,t,5.0
285,f,5.0
286,t,5.0
287,f,5.0
288,f,5.0
289,f,5.0
290,t,5.0
291,t,5.0
292,t,5.0
293,f,5.0
294,f,5.0
295,f,5.0
296,t,5.0
297,t,5.0
298,f,5.0
299,t,5.0
300,t,5.0
301,t,5.0
302,t,5.0
303,f,5.0
304,f,5.0
305,f,5.0
306,f,5.0
307,f,5.0
308,f,5.0
309,f,5.0
310,f,5.0
311,f,5.0
312,t,5.0
313,f,5.0
314,f,5.0
315,f,5.0
316,f,5.0
317,f,5.0
318,t,5.0
319,t,5.0
320,f,5.0
321,f,5.0
322,t,5.0
323,f,5.0
324,f,5.0
325,f,5.0
326,f,5.0
327,t,5.0
328,t,5.0
329,f,5.0
330,f,5.0
331,f,5.0
332,f,5.0
333,t,5.0
334,f,5.0
335,f,5.0
336,f,5.0
337,f,5.0
338,t,5.0
339,f,5.0
340,f,5.0
341,f,5.0
342,f,5.0
343,f,5.0
344,f,5.0
345,f,5.0
346,f,5.0
347,f,5.0
348,t,5.0
349,f,5.0
350,f,5.0
351,f,5.0
352,f,5.0
353,f,5.0
354,f,5.0
355,t,5.0
356,f,5.0
357,t,5.0
358,f,5.0
359,f,5.0
360,f,5.0
361,t,5.0
362,t,5.0
363,t,5.0
364,t,5.0
365,f,5.0
366,f,5.0
367,f,5.0
368,t,5.0
369,t,5.0
370,f,5.0
371,t,5.0
372,f,5.0
373,f,5.0
374,f,5.0
375,f,5.0
376,t,5.0
377,f,5.0
378,f,5.0
379,f,5.0
380,t,5.0
381,f,5.0
382,t,5.0
383,t,5.0
384,f,5.0
385,t,5.0
386,f,5.0
387,f,5.0
388,f,5.0
389,t,5.0
390,f,5.0
391,f,5.0
392,f,5.0
393,t,5.0
394,f,5.0
395,f,5.0
396,f,5.0
397,t,5.0
398,f,5.0
399,f,5.0
400,f,5.0
401,f,5.0
402,f,5.0
403,f,5.0
404,t,5.0
405,f,5.0
406,t,5.0
407,t,5.0
408,f,5.0
409,f,5.0
410,t,5.0
411,f,5.0
412,f,5.0
413,f,5.0
414,f,5.0
415,t,5.0
416,f,5.0
417,f,5.0
418,f,5.0
419,f,5.0
420,t,5.0
421,t,5.0
422,f,5.0
423,f,5.0
424,f,5.0
425,f,5.0
426,f,5.0
427,t,5.0
428,t,5.0
429,t,5.0
430,t,5.0
431,f,5.0
432,t,5.0
433,t,5.0
434,t,5.0
435,f,5.0
436,f,5.0
437,t,5.0
438,f,5.0
439,t,5.0
440,t,5.0
441,f,5.0
442,f,5.0
443,f,5.0
444,f,5.0
445,f,5.0
446,f,5.0
447,f,5.0
448,t,5.0
449,t,5.0
450,f,5.0
451,f,5.0
452,f,5.0
453,f,5.0
454,t,5.0
455,f,5.0
456,t,5.0
457,t,5.0
458,t,5.0
459,f,5.0
460,t,5.0
461,t,5.0
462,f,5.0
463,f,5.0
464,f,5.0
465,f,5.0
466,f,5.0
467,f,5.0
468,t,5.0
469,f,5.0
470,f,5.0
471,f,5.0
472,f,5.0
473,f,5.0
474,f,5.0
475,f,5.0
476,t,5.0
477,f,5.0
478,t,5.0
479,t,5.0
480,f,5.0
481,f,5.0
482,f,5.0
483,f,5.0
484,f,5.0
485,t,5.0
486,t,5.0
487,f,5.0
488,t,5.0
489,f,5.0
490,f,5.0
491,f,5.0
492,f,5.0
493,f,5.0
494,f,5.0
495,f,5.0
496,f,5.0
497,f,5.0
498,f,5.0
499,t,5.0
500,f,5.0
501,t,5.0
502,t,5.0
503,f,5.0
504,f,5.0
505,f,5.0
506,f,5.0
507,t,5.0
508,t,5.0
509,f,5.0
510,t,5.0
511,f,5.0
512,f,5.0
513,t,5.0
514,t,5.0
515,t,5.0
516,t,5.0
517,t,5.0
518,f,5.0
519,f,5.0
520,f,5.0
521,f,5.0
522,t,5.0
523,f,5.0
524,f,5.0
525,t,5.0
526,t,5.0
527,f,5.0
528,f,5.0
529,f,5.0
530,t,5.0
531,f,5.0
532,f,5.0
533,t,5.0
534,f,5.0
535,f,5.0
536,f,5.0
537,f,5.0
538,t,5.0
539,t,5.0
540,f,5.0
541,f,5.0
542,f,5.0
543,f,5.0
544,f,5.0
545,f,5.0
546,f,5.0
547,f,5.0
548,f,5.0
549,t,5.0
550,f,5.0
551,t,5.0
552,f,5.0
553,t,5.0
554,t,5.0
555,f,5.0
556,f,5.0
557,f,5.0
558,f,5.0
559,f,5.0
560,f,5.0
561,t,5.0
562,t,5.0
563,f,5.0
564,f,5.0
565,f,5.0
566,t,5.0
567,f,5.0
568,t,5.0
569,f,5.0
570,f,5.0
571,f,5.0
572,f,5.0
573,f,5.0
574,f,5.0
575,f,5.0
576,t,5.0
577,t,5.0
578,f,5.0
579,f,5.0
580,f,5.0
581,f,5.0
582,f,5.0
583,t,5.0
584,t,5.0
585,t,5.0
586,f,5.0
587,f,5.0
588,t,5.0
589,f,5.0
590,t,5.0
591,f,5.0
592,t,5.0
593,f,5.0
594,f,5.0
595,t,5.0
596,f,5.0
597,t,5.0
598,t,5.0
599,f,5.0
600,t,5.0
601,f,5.0
602,f,5.0
603,f,5.0
604,t,5.0
605,f,5.0
606,t,5.0
607,f,5.0
608,f,5.0
609,f,5.0
610,f,5.0
611,f,5.0
612,f,5.0
613,f,5.0
614,f,5.0
615,f,5.0
616,t,5.0
617,f,5.0
618,t,5.0
619,f,5.0
620,t,5.0
621,f,5.0
622,f,5.0
623,f,5.0
624,t,5.0
625,f,5.0
626,t,5.0
627,f,5.0
628,t,5.0
629,t,5.0
630,t,5.0
631,f,5.0
632,f,5.0
633,f,5.0
634,t,5.0
635,t,5.0
636,t,5.0
637,f,5.0
638,t,5.0
639,t,5.0
640,f,5.0
641,f,5.0
642,f,5.0
643,f,5.0
644,f,5.0
645,t,5.0
646,f,5.0
647,f,5.0
648,f,5.0
649,f,5.0
650,f,5.0
651,t,5.0
652,t,5.0
653,f,5.0
654,f,5.0
655,f,5.0
656,f,5.0
657,f,5.0
658,f,5.0
659,f,5.0
660,f,5.0
661,t,5.0
662,f,5.0
663,f,5.0
664,f,5.0
665,f,5.0
666,f,5.0
667,f,5.0
668,f,5.0
669,f,5.0
670,f,5.0
671,f,5.0
672,f,5.0
673,t,5.0
674,f,5.0
675,f,5.0
676,f,5.0
677,f,5.0
678,t,5.0
679,t,5.0
680,t,5.0
681,t,5.0
682,t,5.0
683,f,5.0
684,f,5.0
685,f,5.0
686,f,5.0
687,f,5.0
688,f,5.0
689,f,5.0
690,t,5.0
691,t,5.0
692,f,5.0
693,f,5.0
694,f,5.0
695,f,5.0
696,f,5.0
697,t,5.0
698,f,5.0
699,t,5.0
700,f,5.0
701,f,5.0
702,f,5.0
703,f,5.0
704,f,5.0
705,f,5.0
706,f,5.0
707,t,5.0
708,f,5.0
709,f,5.0
710,f,5.0
711,t,5.0
712,f,5.0
713,f,5.0
714,f,5.0
715,f,5.0
716,f,5.0
717,f,5.0
718,f,5.0
719,t,5.0
720,f,5.0
721,f,5.0
722,f,5.0
723,f,5.0
724,t,5.0
725,f,5.0
726,f,5.0
727,f,5.0
728,f,5.0
729,f,5.0
730,f,5.0
731,f,5.0
732,f,5.0
733,f,5.0
734,f,5.0
735,f,5.0
736,f,5.0
737,f,5.0
738,f,5.0
739,t,5.0
740,f,5.0
741,f,5.0
742,f,5.0
743,f,5.0
744,f,5.0
745,f,5.0
746,f,5.0
747,f,5.0
748,f,5.0
749,t,5.0
750,t,5.0
751,f,5.0
752,f,5.0
753,f,5.0
754,f,5.0
755,t,5.0
756,f,5.0
757,t,5.0
758,f,5.0
759,f,5.0
760,t,5.0
761,f,5.0
762,f,5.0
763,f,5.0
764,t,5.0
765,t,5.0
766,f,5.0
767,f,5.0
768,f,5.0
769,t,5.0
770,f,5.0
771,t,5.0
772,t,5.0
773,f,5.0
774,t,5.0
775,f,5.0
776,f,5.0
777,t,5.0
778,f,5.0
779,f,5.0
780,t,5.0
781,f,5.0
782,t,5.0
783,t,5.0
784,f,5.0
785,f,5.0
786,f,5.0
787,f,5.0
788,f,5.0
789,f,5.0
790,f,5.0
791,f,5.0
792,f,5.0
793,f,5.0
794,f,5.0
795,f,5.0
796,t,5.0
797,t,5.0
798,t,5.0
799,t,5.0
800,f,5.0
801,f,5.0
802,f,5.0
803,f,5.0
804,f,5.0
805,f,5.0
806,f,5.0
807,f,5.0
808,f,5.0
809,f,5.0
810,f,5.0
811,f,5.0
812,f,5.0
813,f,5.0
814,t,5.0
815,f,5.0
816,f,5.0
817,f,5.0
818,f,5.0
819,f,5.0
820,f,5.0
821,t,5.0
822,t,5.0
823,f,5.0
824,f,5.0
825,f,5.0
826,f,5.0
827,f,5.0
828,t,5.0
829,f,5.0
830,f,5.0
831,f,5.0
832,f,5.0
833,f,5.0
834,f,5.0
835,t,5.0
836,f,5.0
837,f,5.0
838,f,5.0
839,f,5.0
840,f,5.0
841,f,5.0
842,f,5.0
843,f,5.0
844,f,5.0
845,f,5.0
846,f,5.0
847,f,5.0
848,t,5.0
849,f,5.0
850,f,5.0
851,f,5.0
852,f,5.0
853,f,5.0
854,t,5.0
855,f,5.0
856,t,5.0
857,f,5.0
858,f,5.0
859,f,5.0
860,f,5.0
861,f,5.0
862,f,5.0
863,t,5.0
864,t,5.0
865,f,5.0
866,f,5.0
867,t,5.0
868,f,5.0
869,f,5.0
870,f,5.0
871,f,5.0
872,f,5.0
873,f,5.0
874,f,5.0
875,f,5.0
876,f,5.0
877,f,5.0
878,f,5.0
879,f,5.0
880,f,5.0
881,f,5.0
882,f,5.0
883,f,5.0
884,f,5.0
885,f,5.0
886,f,5.0
887,f,5.0
888,f,5.0
889,f,5.0
890,f,5.0
891,f,5.0
892,f,5.0
893,t,5.0
894,t,5.0
895,f,5.0
896,f,5.0
897,f,5.0
898,f,5.0
899,f,5.0
900,f,5.0
901,f,5.0
902,t,5.0
903,f,5.0
904,f,5.0
905,t,5.0
906,f,5.0
907,f,5.0
908,t,5.0
909,f,5.0
910,t,5.0
911,t,5.0
912,f,5.0
913,t,5.0
