,mean_review_scores_rating,mean_review_scores_value,mean_review_scores_accuracy,mean_review_scores_cleanliness,mean_review_scores_checkin,mean_review_scores_communication,mean_review_scores_location
0-20,4.625445960125921,4.655078698845753,4.718824763903464,4.5922560335781775,4.8288982161595015,4.797691500524656,4.738132214060867
20-40,4.706161834703579,4.699006923409751,4.778392470791846,4.668381652964076,4.848433578537401,4.839247079186469,4.808184768498466
40-60,4.746596040291753,4.708478638416117,4.799458145189291,4.701778395276121,4.843765196248687,4.856700243139961,4.8544598819034235
60-80,4.753420015760444,4.693278171788813,4.788156028368788,4.723364854215913,4.811016548463349,4.832915681639086,4.865634357762015
80-100,4.775992063492061,4.70277777777778,4.801448412698416,4.732063492063495,4.8014880952380965,4.820972222222225,4.894087301587305
100-120,4.708027210884354,4.6251020408163255,4.740680272108845,4.667142857142855,4.748639455782313,4.764965986394557,4.8242857142857165
120-140,4.664591836734694,4.609795918367347,4.700102040816327,4.625816326530613,4.761428571428572,4.7738775510204094,4.799693877551021
140-160,4.7732653061224495,4.708163265306124,4.846326530612246,4.712040816326531,4.836734693877551,4.868367346938776,4.902448979591838
160-180,4.5588,4.6259999999999994,4.534400000000001,4.5228,4.498,4.4868,4.7627999999999995
180-200,4.704444444444444,4.507222222222222,4.675555555555556,4.567777777777778,4.536666666666666,4.861666666666667,4.881111111111111
200-220,4.764444444444445,4.558888888888889,4.8244444444444445,4.753333333333334,4.763333333333333,4.862222222222222,4.727777777777778
220-240,4.908181818181817,4.8500000000000005,4.922727272727273,4.84,4.945454545454546,4.96,4.931818181818182
240-260,4.855714285714286,4.810714285714286,4.8914285714285715,4.890000000000001,4.936428571428571,4.909285714285715,4.961428571428572
260-280,5.0,5.0,5.0,4.666666666666667,5.0,5.0,4.666666666666667
280-300,4.626666666666666,4.9366666666666665,4.633333333333334,4.8500000000000005,4.976666666666667,4.983333333333333,4.993333333333333
300-320,4.63,4.58,4.88,4.38,4.83,4.58,5.0
320-340,3.8729999999999998,4.026999999999999,4.2669999999999995,3.8680000000000008,4.293999999999999,4.508,4.442
340-360,4.88,4.92,4.94,4.98,4.95,4.96,4.87
360-380,4.56,4.55,4.69,4.49,4.8,4.82,4.96
380-400,4.94,4.91,4.95,4.95,4.98,4.96,4.87
400-420,,,,,,,
420-440,5.0,5.0,5.0,5.0,5.0,5.0,5.0
440-460,4.345,4.465,4.545,3.92,4.345000000000001,4.82,4.975
460-480,,,,,,,
480-500,4.915,4.954999999999999,4.965000000000001,4.966666666666667,4.815,4.8116666666666665,4.933333333333334
500-520,,,,,,,
520-540,4.75,4.5,4.75,4.63,5.0,4.5,4.88
540-560,,,,,,,
560-580,4.75,4.75,4.5,5.0,4.75,5.0,5.0
580-600,4.62,4.71,4.69,4.36,4.89,4.73,4.93
600-620,,,,,,,
620-640,,,,,,,
640-660,4.0,4.0,5.0,4.0,5.0,5.0,5.0
660-680,5.0,5.0,5.0,5.0,5.0,5.0,5.0
680-700,,,,,,,
700-720,,,,,,,
720-740,,,,,,,
740-760,5.0,4.94,5.0,5.0,5.0,4.88,4.94
760-780,4.33,4.33,4.67,4.33,4.33,5.0,4.67
780-800,,,,,,,
800-820,,,,,,,
820-840,,,,,,,
840-860,,,,,,,
860-880,,,,,,,
880-900,,,,,,,
900-920,,,,,,,
920-940,,,,,,,
940-960,,,,,,,
960-980,,,,,,,
980-1000,4.67,5.0,5.0,4.33,5.0,5.0,5.0
