,mean_review_scores_rating
0-20,4.577414330218072
20-40,4.641687286689408
40-60,4.688189921151854
60-80,4.701469673405912
80-100,4.729450980392154
100-120,4.613866666666667
120-140,4.539711538461538
140-160,4.594038461538462
160-180,4.5588
180-200,4.456842105263157
200-220,4.764444444444445
220-240,4.908181818181817
240-260,4.855714285714286
260-280,5.0
280-300,4.626666666666666
300-320,4.63
320-340,3.8729999999999998
340-360,2.44
360-380,4.56
380-400,4.94
400-420,
420-440,5.0
440-460,4.345
460-480,
480-500,4.915
500-520,
520-540,4.75
540-560,
560-580,4.75
580-600,4.62
600-620,
620-640,
640-660,4.0
660-680,5.0
680-700,
700-720,
720-740,
740-760,5.0
760-780,4.33
780-800,
800-820,
820-840,
840-860,
860-880,
880-900,
900-920,
920-940,
940-960,
960-980,
980-1000,4.67
