,mean_review_scores_rating
0-20,4.2490000000000006
20-40,4.515049382716053
40-60,4.599832953682616
60-80,4.64638766519824
80-100,4.697977369165485
100-120,4.6798645320197085
120-140,4.7265525982256005
140-160,4.663004059539916
160-180,4.692520661157025
180-200,4.722367758186399
200-220,4.741782178217821
220-240,4.713636363636364
240-260,4.727268907563024
260-280,4.646985294117648
280-300,4.700579710144925
300-320,4.679193548387097
320-340,4.805423728813558
340-360,4.773333333333332
360-380,4.723392857142856
380-400,4.683934426229507
400-420,4.833333333333333
420-440,4.88
440-460,4.745483870967742
460-480,4.853076923076923
480-500,4.797586206896552
500-520,4.591666666666667
520-540,4.67
540-560,4.6762500000000005
560-580,4.707777777777777
580-600,4.504444444444444
600-620,4.915
620-640,4.7316666666666665
640-660,4.83375
660-680,4.9399999999999995
680-700,4.82875
700-720,4.5925
720-740,4.625
740-760,3.39
760-780,4.6866666666666665
780-800,4.932
800-820,4.896666666666667
820-840,4.9725
840-860,4.7875
860-880,
880-900,3.7750000000000004
900-920,
920-940,4.926666666666667
940-960,4.5775
960-980,4.73
980-1000,4.878
